object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"BlockingVolume11",BlockingVolume,11894.88,-1569.725,3696.083,0,3.814697E-06,0,0.7040584,1,0.221138,,
"BlockingVolume4_2",BlockingVolume,37801.17,2354.477,-538.1762,,,,,,,,
"RoundStickShadowDecal2",DecalActor,5150.761,-4695.035,38.95803,-90,-14.03626,126.5358,0.429882,0.341875,0.341875,,
"P_TreeTrunk_ResidualSmoke10",Emitter,55437.66,-9958.271,2434.577,0,-180.0001,0,2,2,2,,
"P_TreeTrunk_ResidualSmoke11",Emitter,55017.05,-10383.85,2164.629,0,-180.0001,0,2,2,2,,
"P_TreeTrunk_ResidualSmoke12",Emitter,54517.28,-10118.45,3092.268,0,-180.0001,0,,,,,
"P_TreeTrunk_ResidualSmoke3",Emitter,43280.02,-1813.262,840.1786,0,-180.0001,0,,,,,
"P_TreeTrunk_ResidualSmoke4",Emitter,43779.79,-2078.669,-87.45966,0,-180.0001,0,2,2,2,,
"P_TreeTrunk_ResidualSmoke8",Emitter,51320.02,-1803.262,1690.179,0,-180.0001,0,,,,,
"P_TreeTrunk_ResidualSmoke9",Emitter,51819.79,-2068.669,762.5403,0,-180.0001,0,2,2,2,,
"LampOn167",LampOn_C,12565.71,-1142.988,1230.691,0,0,-90.00012,,,,,
"LampOn168",LampOn_C,11761.57,-1142.988,1230.691,0,0,-90.00012,,,,,
"LampOn178_2",LampOn_C,-4582.93,-11843.53,544.7272,0,0,-179.73,4,4,4,,
"LampOn179",LampOn_C,-9273.21,-12754.28,540.1837,0,0,-179.73,2,2,2,,
"LampOn180",LampOn_C,-9273.21,-10937.45,531.6236,0,0,-179.73,2,2,2,,
"PointLight150_0",PointLight,12566.44,-1192.988,1224.133,,,,,,,,
"PointLight181",PointLight,11753.64,-1192.988,1224.133,,,,,,,,
"PointLight182",PointLight,54969.3,-9456.882,3581.991,,,,,,,,
"PointLight183",PointLight,51288.99,-10393.19,3581.991,,,,,,,,
"Firth3",RedGuy_C,12502.14,-1641.821,1067.019,2.732076E-05,-183.7496,2.113894E-05,,,,,
"RedGuy44_0",RedGuy_C,11842.14,-1720.709,1081.39,0,-3.847641,0,,,,,
"RedGuy45_2",RedGuy_C,11850.9,-1562.901,1080.49,0,-3.847641,0,,,,,
"RedGuy46_4",RedGuy_C,11852.43,-1446.705,1080.49,0,-3.847641,0,,,,,
"RedGuy47",RedGuy_C,11706.98,-1319.844,1081.39,0,-3.847641,0,,,,,
"RedGuy48",RedGuy_C,11694.53,-1504.853,1081.39,0,-3.847641,0,,,,,
"RedGuy49",RedGuy_C,11699.47,-1723.108,1080.622,0,-3.847641,0,,,,,
"RedGuy50",RedGuy_C,11544.67,-1662.61,1081.39,0,-3.847641,0,,,,,
"RedGuy51",RedGuy_C,11532.77,-1353.989,1081.39,0,-3.847641,0,,,,,
"RedGuy52",RedGuy_C,11524.1,-1500.073,1081.39,0,-3.847641,0,,,,,
"RedGuy53",RedGuy_C,11355.44,-1755.629,1081.39,0,-3.847641,0,,,,,
"RedGuy54",RedGuy_C,11362,-1389.715,1081.39,0,-3.847641,0,,,,,
"RedGuy55",RedGuy_C,11347.99,-1598.155,1081.39,0,-3.847641,0,,,,,
"SphereReflectionCapture13_2",SphereReflectionCapture,7130,-3950,610,,,,,,,,
"Bag_2",StaticMeshActor,32691.41,-6409.829,8978.521,8.513714,79.74986,191.5393,1111,1111,1111,,
"Bag_22",StaticMeshActor,32471.25,-2254.021,-2827.486,0.078841,-112.216,1.343238,125,125,125,,
"Bag_25",StaticMeshActor,33677.16,-2107.628,-2825.659,1.341213,-194.2802,-4.674648,125,125,125,,
"Bag_26",StaticMeshActor,39757.33,3583.941,-210.7854,0.1913216,-348.3708,-2.523685,125,125,125,,
"Bag_30",StaticMeshActor,46182.03,-8376.855,171.0223,1.007965,-282.0276,-4.81925,125,125,125,,
"Bag_32",StaticMeshActor,52200.45,-18540.2,1215.51,1.007965,-368.1752,-4.81925,125,125,125,,
"Bag_34",StaticMeshActor,31140.77,-14729.25,-2403.19,1.580023,-91.73937,2.274944,125,125,161.3516,,
"Bag_48",StaticMeshActor,18595.62,12780.31,1487.466,-4.388977,-145.6607,-85.84881,111,111,111,,
"Bag_49",StaticMeshActor,16005.24,15639.57,1561.829,-4.206596,-56.22927,-94.33582,111,111,111,,
"Bag_50",StaticMeshActor,13963.22,15797.7,1563.253,-0.28083,-14.83203,-96.03172,111,111,111,,
"Bag_53",StaticMeshActor,49126.51,22.47615,945.3677,0.191322,-247.1206,-2.523685,125,125,125,,
"Bag_58",StaticMeshActor,49072.32,-3319.769,948.9042,0.191322,-348.3707,-2.523685,140,140,140,,
"bucket2",StaticMeshActor,5229.796,-4827.74,28.96163,,,,2,2,2,,
"cartoon_carrot6",StaticMeshActor,42010.33,-3748.499,343.448,-67.95403,-57.63018,-1.556226,6.704416,0.688528,6.704416,,
"Cartoon_plank_02_95",StaticMeshActor,12175.02,-1786.742,972.5858,0,90.00001,0,6.843822,6.843822,6.843822,,
"Cartoon_plank_1",StaticMeshActor,12261.2,-1942.988,1831.03,,,,2,2,2,,
"Cartoon_plank_100",StaticMeshActor,11061.2,-1842.988,1471.03,0,270,0,2,2,2,,
