object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"BlockingVolume16_2",BlockingVolume,18231.34,-4399.469,-523.9319,,,,0.7800403,0.7888793,0.2231246,,
"BlockingVolume4_2",BlockingVolume,2189.592,5689.487,2725.354,0,8.925476,0,5.815684,1,11.32967,,
"ButtonFloor21",ButtonFloor_C,31827.59,-8031.44,93.09319,0,-60.91663,0,,,,,
"ForceCubeSnap5_15",ForceCubeSnap_C,-1988.418,-5556.237,2431.096,,,,,,,,
"Glowline67_2",Glowline_C,31751.38,-7893.158,118.546,0,112.4993,0,,,,,
"MoveMesh22_2",MoveMesh_C,30790.03,-6171.43,193.5249,,,,,,,,
"MusicChangeVolumeNew58",MusicChangeVolumeV2_C,-1982.495,13716.83,1805.018,,,,0.88781,2.987319,4.038533,,
"MusicChangeVolumeNew59",MusicChangeVolumeV2_C,-5094.084,13716.83,1805.019,,,,0.88781,2.987319,4.038533,,
"PointLight95",PointLight,159.061,11456.83,2690.881,,,,,,,,
"Firth2",RedGuy_C,6049.828,2682.536,119.8557,-7E-06,32.34845,1.1E-05,,,,,
"Bag_01_264",StaticMeshActor,32691.41,-6409.829,8978.521,8.513714,79.74986,191.5393,1111,1111,1111,,
"Bag_17",StaticMeshActor,30903.36,-14734.52,-2366.554,1.91886,93.92013,-95.72636,111,111,111,,
"Bag_19",StaticMeshActor,39915.96,3638.878,-161.0796,-4.778407,-129.0327,-86.13626,111,111,111,,
"Bag_21",StaticMeshActor,32274.5,-2089.21,-2830.844,-0.003520039,59.16072,-93.72106,125,125,125,,
"Bag_22",StaticMeshActor,46328.95,-8456.979,185.1546,7E-06,-113.0931,-91.5133,111,111,111,,
"Bag_23",StaticMeshActor,33721.14,-1870.42,-2788.63,-3.282359,-2.650284,-91.75366,125,125,125,,
"Bag_26",StaticMeshActor,52213.56,-18721.09,1298.445,7E-06,-185.2953,-91.51321,111,111,111,,
"Bag_53",StaticMeshActor,49298.91,146.3902,969.8113,-4.778387,-50.28257,-86.13623,111,111,111,,
"Bag_55",StaticMeshActor,49090.65,-3516.266,969.8113,-4.778383,-174.0327,-86.13622,111,111,111,,
"Base_Ruined_19",StaticMeshActor,12598.04,-1885.473,998.0729,0,-180,0,0.5,0.5,0.5,,
"Base_Ruined_20",StaticMeshActor,12299.83,-1885.473,998.0729,0,-180,0,0.5,0.5,0.5,,
"Base_Ruined_21",StaticMeshActor,11385.54,-1857.771,998.0729,0,-180,0,0.5,0.5,0.5,,
"Base_Ruined_22",StaticMeshActor,12455.29,-1288.524,998.0729,0,-180,0,0.5,0.5,0.5,,
"Base_Ruined_23",StaticMeshActor,12151.26,-1237.654,998.0729,0,-360,0,0.5,0.5,0.5,,
"Base_Ruined_24",StaticMeshActor,13037.11,-1440.784,1036.527,0,-270,0,0.5,0.5,0.5,,
"Base_Ruined_25",StaticMeshActor,13037.11,-1858.028,1036.527,0,-270,0,0.5,0.5,0.5,,
"Base_Ruined_28",StaticMeshActor,11478.96,-1288.525,998.0729,0,-180,0,0.5,0.5,0.5,,
"Base_Ruined_29",StaticMeshActor,11178.56,-1237.654,998.0729,0,-360,0,0.5,0.5,0.5,,
"Base_Ruined_32",StaticMeshActor,10806.74,-2393.789,1037.003,0,-270,0,0.5,0.5,0.5,,
"Base_Ruined_33",StaticMeshActor,10806.74,-1998.657,1037.003,0,-270,0,0.5,0.5,0.5,,
"Brick134",StaticMeshActor,50971.65,-10216.26,3079.762,0,-270.291,-33.75006,30,27.04174,48.71353,,
"Cartoon_plank_02_95",StaticMeshActor,12175.02,-1786.742,1006.457,0,90.00001,0,6.843822,6.843822,6.843822,,
"Cartoon_plank_18",StaticMeshActor,12226.25,-1590.738,1006.457,0,-89.99999,0,5.985364,6.843822,6.843822,,
"Cartoon_plank_19",StaticMeshActor,12148,-1371.559,1006.457,0,-87.22704,0,4.471655,6.843822,6.843822,,
"Charred_Big_Coal2",StaticMeshActor,15935.59,-2813.351,-43.4493,0,-112.4999,0,85.17484,85.17484,85.17484,,
"Charred_Big_Coal3",StaticMeshActor,15940.54,-3074.613,-43.4493,0,-202.4998,0,108.0094,108.0094,108.0094,,
"Charred_Big_Coal4",StaticMeshActor,15813.27,-2733.703,-27.05783,67.5,-22.49986,180,108.0094,108.0094,108.0094,,
"Charred_Big_Coal5",StaticMeshActor,15657.51,-2471.825,7.945207,60.45441,1.951633,140.9013,108.0094,108.0094,108.0094,,
"Charred_Big_Coal6",StaticMeshActor,15825.15,-2567.84,-19.13632,-58.60025,49.50901,312.7341,41.36792,42.07509,41.36792,,
"Charred_Big_Coal7",StaticMeshActor,16074.05,-3132.685,13.98126,4.098113E-05,-134.9999,-44.99993,66,66,66,,
"Charred_Big_Coal8",StaticMeshActor,16117.52,-3059.832,-32.96249,-1.180276,-130.7999,-13.62018,66,66,66,,
"Charred_Big_Coal9",StaticMeshActor,16069.92,-2920.891,-31.2784,0,-134.9999,-0.1943054,64.28458,64.28458,64.28458,,
"Charred_Big_Coal_2",StaticMeshActor,16076.31,-2717.716,-43.4493,,,,108.0094,108.0094,108.0094,,
"Charred_branch120",StaticMeshActor,40566.46,-1532.153,245.6487,0.0003900528,-127.4999,809.9996,10,10.20578,8.867013,,
"Charred_branch121",StaticMeshActor,41196.71,-753.7709,245.6457,-0.000189,52.49982,630.0004,10,10.20578,8.867013,,
"Charred_branch46",StaticMeshActor,40750.56,-1292.339,245.6477,-0.000189,52.49982,630.0004,10,10.20578,8.867013,,
"Charred_branch98",StaticMeshActor,35452.56,5133.008,4881.894,-88.66702,188.3961,81.59678,67.76898,65.12773,50.73418,,
"Globe_chain_10",StaticMeshActor,33100,-6199.995,14124.91,0,78.7501,0,51.97557,51.97557,51.97557,,
"Globe_chain_24",StaticMeshActor,33213.06,-5204.337,19424.81,-6.222318,9.391246,-146.7617,11,11,11,,
"Globe_chain_3",StaticMeshActor,33100,-6200,5580.838,,,,68.29745,68.29745,68.29745,,
"Globe_chain_5",StaticMeshActor,33100,-6200,6539.778,0,-6.1E-05,0,51.97557,51.97557,51.97557,,
"Globe_chain_6",StaticMeshActor,33100,-6200,8045.221,0,112.5002,0,51.97557,51.97557,51.97557,,
"Globe_chain_7",StaticMeshActor,33100,-6200,9568.816,0,202.5003,0,51.97557,51.97557,51.97557,,
"Globe_chain_8",StaticMeshActor,33100,-6200,11085,0,112.5001,0,51.97557,51.97557,51.97557,,
"Globe_chain_9",StaticMeshActor,33100,-6199.995,12601.31,0,-11.25,0,51.97557,51.97557,51.97557,,
"GlobeMerged2",StaticMeshActor,6190.24,2760.617,86.71098,1.366038E-05,-270,607.8236,1.5,1.5,1.5,,
"Simple_rock_144",StaticMeshActor,51292.16,-1885.231,715.8606,6.830189E-06,103.3629,92.65491,106.1229,106.1229,106.1229,,
"SM_cliff_a12",StaticMeshActor,46399.14,-5461.738,2191.647,0,107.2871,0,6,6,6,,
"SM_stone_d2",StaticMeshActor,44565.5,-2096.635,166.7429,0,-130.0002,0,6,6,6,,
"SM_stone_d3",StaticMeshActor,43615.54,-1834.71,467.044,0,-135.0001,0,5.992205,5.992205,5.992205,,
"SM_stone_d4",StaticMeshActor,43075.75,-1808.667,112.9367,0,-380.0004,0,5.992205,5.992205,5.992205,,
"SM_stone_d5",StaticMeshActor,43334.83,-1527.255,490.3243,-50.33154,108.967,122.3976,3.992205,3.992205,3.992205,,
"SM_stone_d6",StaticMeshActor,43651.13,-2193.102,170.1684,-50.33133,18.96677,122.3977,4,4,4,,
"SM_stone_d7",StaticMeshActor,44803.9,-1755.457,411.7604,-46.34446,-420.0599,-154.2487,5.433827,5.101506,5.741888,,
