object_name,object_class,location_x,location_y,location_z,rotation_pitch,rotation_yaw,rotation_roll,scale_x,scale_y,scale_z,spawns,spawncount
"peopletalkloop_Cue2_34",AmbientSound,10670.52,-3093.697,720.9622,,,,,,,,
"peopletalkloop_Cue_3",AmbientSound,42649.8,-3355.683,240.1491,,,,,,,,
"RoundStickShadowDecal2",DecalActor,5150.761,-4695.035,38.95803,-90,-14.03626,126.5358,0.429882,0.341875,0.341875,,
"RoundStickShadowDecal3",DecalActor,5150.761,-4695.035,38.95803,-90,-14.03626,126.5358,0.429882,0.341875,0.341875,,
"P_TreeTrunk_ResidualSmoke3",Emitter,43280.02,-1813.262,840.1786,0,-180.0001,0,,,,,
"P_TreeTrunk_ResidualSmoke4",Emitter,43779.79,-2078.669,-87.45966,0,-180.0001,0,2,2,2,,
"P_TreeTrunk_ResidualSmoke5",Emitter,51320.5,-1802.943,1689.451,0,-180.0001,0,,,,,
"P_TreeTrunk_ResidualSmoke6",Emitter,51819.79,-2068.669,762.5403,0,-180.0001,0,2,2,2,,
"GiveAchievement35_2",GiveAchievement_C,5287.584,-4683.254,45.38606,,,,,,,,
"LampOn210_2",LampOn_C,12370,-4372.227,650.3914,-6.548309,-1.257111,10.89239,,,,,
"PointLight_0",PointLight,12373.78,-4357.39,699.3128,,,,,,,,
"Firth2",RedGuy_C,10365.68,-2738.081,798.1855,-7E-06,-59.99955,1.1E-05,,,,,
"JuiceGuy2",RedGuy_C,42168.44,-3820.132,171.3294,0,-174.4011,0,0.6,0.6,0.6,,
"JuiceGuy3",RedGuy_C,42184.6,-3892.74,205.9023,0,112.3889,0,,,,,
"RedGuy24",RedGuy_C,10634.27,-3195.799,689.6395,0,124.4687,0,,,,,
"RedGuy29",RedGuy_C,10773.2,-3022.149,689.6395,0,132.5892,0,,,,,
"RedGuy30",RedGuy_C,10481.08,-3194.255,689.6395,0,101.5528,0,,,,,
"RedGuy31",RedGuy_C,10821.76,-3206.34,689.6395,0,124.4687,0,,,,,
